Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,3/20/2024,Standard
1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,4/20/2024,Overnight
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,10/17/2023,Express
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,8/9/2024,Overnight
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,5/21/2024,Express
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83,20.75,4,5/26/2024,Standard
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,1/30/2024,Overnight
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,6/24/2024,Overnight
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,10/3/2023,Standard
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,1/1/2024,Express
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,2470.3,247.03,10,6/25/2024,Overnight
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,11/7/2023,Overnight
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,9/25/2023,Express
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,7/7/2024,Standard
1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,5538.33,791.19,7,3/18/2024,Overnight
1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,1/2/2024,Standard
1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,5/18/2024,Standard
1015,22,Male,No,Smartphone,SKU1001,5,Completed,Paypal,83,20.75,4,9/2/2024,Standard
1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,Paypal,103.75,20.75,5,7/7/2024,Overnight
1018,34,Male,No,Smartphone,SKU1001,5,Completed,Paypal,124.5,20.75,6,7/23/2024,Express
1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83,20.75,4,3/14/2024,Express
1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,4/20/2024,Express
1019,45,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Paypal,844.83,844.83,1,7/21/2024,Express
1020,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,12/2/2023,Express
1021,71,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,3/20/2024,Overnight
1022,76,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,6758.64,844.83,8,4/27/2024,Overnight
1024,49,Female,No,Smartphone,SKU1004,2,Completed,Cash,1582.38,791.19,2,7/10/2024,Overnight
1025,77,Male,No,Laptop,SKU1005,3,Completed,Debit Card,2783.76,463.96,6,1/29/2024,Overnight
1025,77,Male,No,Smartphone,SKU1001,5,Completed,Cash,83,20.75,4,8/28/2024,Express
1027,22,Male,No,Smartphone,SKU1004,2,Completed,Paypal,4747.14,791.19,6,11/28/2023,Overnight
1028,79,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,11/30/2023,Overnight
1030,69,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,4224.15,844.83,5,2/27/2024,Express
1031,20,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,1/21/2024,Express
1031,20,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,103.75,20.75,5,9/3/2024,Overnight
1033,54,Female,No,Tablet,SKU1002,3,Completed,Debit Card,988.12,247.03,4,11/30/2023,Overnight
1033,54,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,3164.76,791.19,4,1/12/2024,Standard
1035,32,Female,No,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,9/24/2023,Standard
1035,32,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,62.25,20.75,3,3/25/2024,Standard
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,Debit Card,3955.95,791.19,5,10/12/2023,Standard
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,Paypal,791.19,791.19,1,1/28/2024,Express
1038,56,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,4224.15,844.83,5,7/8/2024,Overnight
1038,56,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,5068.98,844.83,6,7/29/2024,Standard
1038,56,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,145.25,20.75,7,8/17/2024,Express
1038,56,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,9/23/2024,Overnight
1039,53,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1729.21,247.03,7,8/31/2024,Standard
1040,45,Female,Yes,Smartphone,SKU1004,2,Completed,Credit Card,6329.52,791.19,8,10/16/2023,Standard
1042,65,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,145.25,20.75,7,6/26/2024,Overnight
1042,65,Female,No,Smartwatch,SKU1003,3,Completed,Cash,5913.81,844.83,7,7/16/2024,Overnight
1043,76,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,207.5,20.75,10,3/5/2024,Overnight
1047,73,Male,No,Tablet,SKU1002,3,Completed,Debit Card,2470.3,247.03,10,12/11/2023,Express
1048,67,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,2470.3,247.03,10,10/28/2023,Express
1049,50,Female,No,Smartphone,SKU1001,5,Completed,Paypal,145.25,20.75,7,6/25/2024,Standard
1052,72,Male,No,Smartwatch,SKU1003,3,Cancelled,Cash,5068.98,844.83,6,8/3/2024,Standard
1053,79,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,12/20/2023,Standard
1054,30,Female,Yes,Smartphone,SKU1001,5,Completed,Paypal,62.25,20.75,3,5/8/2024,Standard
1056,24,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,4/27/2024,Overnight
1057,71,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,7603.47,844.83,9,10/22/2023,Express
1057,71,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,1482.18,247.03,6,3/28/2024,Express
1058,21,Female,No,Smartphone,SKU1001,5,Completed,Paypal,166,20.75,8,6/12/2024,Overnight
1058,21,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,3955.95,791.19,5,7/8/2024,Express
1059,37,Male,No,Laptop,SKU1005,3,Completed,Paypal,3247.72,463.96,7,2/22/2024,Overnight
1059,37,Male,No,Laptop,SKU1005,3,Completed,Debit Card,463.96,463.96,1,6/27/2024,Express
1060,72,Male,Yes,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,9/28/2023,Standard
1060,72,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,1482.18,247.03,6,12/7/2023,Overnight
1060,72,Male,No,Smartphone,SKU1004,2,Completed,Paypal,1582.38,791.19,2,1/29/2024,Overnight
1061,56,Male,Yes,Tablet,SKU1002,3,Completed,Cash,1976.24,247.03,8,10/25/2023,Standard
1061,56,Male,No,Laptop,SKU1005,3,Completed,Paypal,463.96,463.96,1,5/21/2024,Express
1062,62,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,6329.52,791.19,8,3/23/2024,Standard
1063,64,Male,Yes,Laptop,SKU1005,3,Completed,Paypal,1855.84,463.96,4,4/25/2024,Standard
1063,64,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,2373.57,791.19,3,7/8/2024,Express
1066,44,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,2373.57,791.19,3,2/28/2024,Standard
1066,44,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,2373.57,791.19,3,7/13/2024,Overnight
1067,49,Male,No,Tablet,SKU1002,3,Cancelled,Paypal,1729.21,247.03,7,10/17/2023,Standard
1067,49,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,12/30/2023,Standard
1069,27,Male,No,Smartphone,SKU1001,5,Completed,Cash,145.25,20.75,7,5/21/2024,Standard
1070,30,Male,No,Smartphone,SKU1001,5,Cancelled,Paypal,62.25,20.75,3,11/29/2023,Standard
1071,54,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,7603.47,844.83,9,6/17/2024,Overnight
1073,46,Female,No,Tablet,SKU1002,3,Completed,Cash,2223.27,247.03,9,7/11/2024,Standard
1073,46,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,1976.24,247.03,8,9/12/2024,Express
1074,58,Male,No,Smartwatch,SKU1003,3,Completed,Cash,7603.47,844.83,9,11/6/2023,Standard
1077,26,Male,No,Smartphone,SKU1004,2,Completed,Cash,2373.57,791.19,3,12/26/2023,Express
1077,26,Male,No,Tablet,SKU1002,3,Completed,Cash,1482.18,247.03,6,5/14/2024,Overnight
1079,64,Male,No,Smartphone,SKU1001,5,Completed,Paypal,41.5,20.75,2,10/24/2023,Standard
1079,64,Male,Yes,Smartphone,SKU1004,2,Completed,Paypal,3164.76,791.19,4,9/12/2024,Overnight
1079,64,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,2373.57,791.19,3,9/15/2024,Overnight
1080,55,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,3164.76,791.19,4,1/3/2024,Standard
1080,55,Female,No,Tablet,SKU1002,3,Completed,Credit Card,247.03,247.03,1,8/18/2024,Express
1083,24,Male,No,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,7/29/2024,Overnight
1085,74,Male,No,Smartphone,SKU1001,5,Completed,Cash,20.75,20.75,1,10/11/2023,Express
1085,74,Male,No,Tablet,SKU1002,3,Completed,Cash,741.09,247.03,3,5/2/2024,Overnight
1086,76,Male,No,Smartphone,SKU1001,5,Completed,Paypal,166,20.75,8,7/1/2024,Overnight
1089,45,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,3955.95,791.19,5,8/9/2024,Express
1090,31,Male,No,Tablet,SKU1002,3,Cancelled,Debit Card,741.09,247.03,3,5/4/2024,Express
1091,22,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,1689.66,844.83,2,3/22/2024,Express
1093,56,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,7120.71,791.19,9,4/27/2024,Express
1094,65,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,20.75,20.75,1,5/7/2024,Overnight
1096,20,Female,Yes,Smartphone,SKU1001,5,Completed,Paypal,41.5,20.75,2,12/13/2023,Standard
1096,20,Female,No,Laptop,SKU1005,3,Completed,Cash,4639.6,463.96,10,5/15/2024,Overnight
1097,19,Male,No,Tablet,SKU1002,3,Completed,Paypal,988.12,247.03,4,3/25/2024,Express
1099,68,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,1582.38,791.19,2,10/9/2023,Standard
1099,68,Female,No,Laptop,SKU1005,3,Cancelled,Paypal,1391.88,463.96,3,5/31/2024,Overnight
1100,63,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,741.09,247.03,3,2/29/2024,Express
1100,63,Female,Yes,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,5/19/2024,Overnight
1101,33,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,207.5,20.75,10,10/9/2023,Standard
1101,33,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,791.19,791.19,1,10/25/2023,Overnight
1101,33,Female,No,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,5/23/2024,Overnight
1101,33,Female,No,Smartphone,SKU1001,5,Completed,Paypal,62.25,20.75,3,7/23/2024,Express
1102,55,Male,No,Smartphone,SKU1001,5,Cancelled,Paypal,166,20.75,8,8/6/2024,Express
1105,42,Female,No,Tablet,SKU1002,3,Completed,Debit Card,1482.18,247.03,6,9/20/2024,Overnight
1109,37,Female,No,Laptop,SKU1005,3,Cancelled,Debit Card,1855.84,463.96,4,3/25/2024,Overnight
1109,37,Female,Yes,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,7/13/2024,Overnight
1110,76,Male,No,Smartphone,SKU1001,5,Completed,Credit Card,207.5,20.75,10,7/11/2024,Express
1112,58,Female,No,Tablet,SKU1002,3,Completed,Paypal,2223.27,247.03,9,2/15/2024,Overnight
1112,58,Female,No,Tablet,SKU1002,3,Completed,Paypal,2223.27,247.03,9,6/19/2024,Express
1114,25,Female,No,Smartphone,SKU1004,2,Completed,Paypal,4747.14,791.19,6,1/31/2024,Overnight
1115,31,Female,No,Smartphone,SKU1004,2,Cancelled,Cash,791.19,791.19,1,12/30/2023,Overnight
1115,31,Female,Yes,Smartwatch,SKU1003,3,Completed,Paypal,844.83,844.83,1,6/4/2024,Overnight
1115,31,Female,No,Tablet,SKU1002,3,Completed,Debit Card,247.03,247.03,1,9/10/2024,Standard
